sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Dittel, Jacob W.; Lambert, Thomas D.; Adler, Gregory H.. 2015. Seed dispersal by rodents in a lowland forest in central Panama. Journal of Tropical Ecology. 403-412"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Galvez, Dumas. 2011. Digestibility of palm seeds and bruchids larvae by Neotropical rodents. Animal Biology. 21-27"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Visser, Marco D.; Muller-Landau, Helene C.; Wright, S. Joseph; Rutten, Gemma; Jansen, Patrick A.. 2011. Tri-trophic interactions affect density dependence of seed fate in a tropical forest palm. Ecology Letters. 1093-1100"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Jansen, Patrick A.; Visser, Marco D.; Wright, S. Joseph; Rutten, Gemma; Muller-Landau, Helene C.. 2014. Negative density dependence of seed dispersal and seedling recruitment in a Neotropical palm. Ecology Letters. 1111-1120"
	Sciurus granatensis	RO:0002470	eats		Attalea butyracea							"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A.. 2015. Indirect interactions among tropical tree species through shared rodent seed predators: a novel mechanism of tree species coexistence. Ecology Letters. 752-760"
	Proechimys semispinosus	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Proechimys semispinosus	RO:0002470	eats		Attalea butyracea							"Carvajal, Alejandra; Adler, Gregory H.. 2008. Seed dispersal and predation by Proechimys semispinosus and Sciurus granatensis in gaps and understorey in central Panama. Journal of Tropical Ecology. 485-492"
	Proechimys semispinosus	RO:0002470	eats		Attalea butyracea							"Adler, G. H.; Kestell, D. W.. 1998. Fates of neotropical tree seeds influenced by spiny rats (Proechimys semispinosus). Biotropica. 677-681"
	Proechimys semispinosus	RO:0002470	eats		Attalea butyracea							"Visser, Marco D.; Muller-Landau, Helene C.; Wright, S. Joseph; Rutten, Gemma; Jansen, Patrick A.. 2011. Tri-trophic interactions affect density dependence of seed fate in a tropical forest palm. Ecology Letters. 1093-1100"
	Proechimys semispinosus	RO:0002470	eats		Attalea butyracea							"Jansen, Patrick A.; Visser, Marco D.; Wright, S. Joseph; Rutten, Gemma; Muller-Landau, Helene C.. 2014. Negative density dependence of seed dispersal and seedling recruitment in a Neotropical palm. Ecology Letters. 1111-1120"
